iter	Passed	Remaining
556	5211	4144
557	5220	4135
558	5229	4125
559	5238	4115
560	5246	4105
561	5255	4095
562	5263	4085
563	5272	4076
564	5279	4064
565	5288	4055
566	5299	4046
567	5307	4036
568	5316	4027
569	5325	40175570	5339	4011
571	5349	4002
572	5358	3993
573	5367	3983
574	5376	3973
575	5384	3963
576	5393	3953
577	5402	3944
578	5410	3934
579	5419	3924
580	5428	3914
581	5437	3905
582	5446	3895
583	5456	3886
584	5466	3877
585	5476	3869
586	5488	3861
587	5498	3852
588	5509	3844
589	5517	3833
590	5526	3824
591	5535	3814
592	5544	3805
593	5553	3796
594	5562	3786
595	5573	3777
596	5581597	55597	5589598	55598	5600	3749
599	5609	3739
600	5618	3730
601	5626	3719
602	5636603	56603	5646604	56604	5656605	56605	5663606	56606	5672607	56607	5681608	56608	5689609	56609	5698610	57610	5706611	57611	5715612	57612	5724613	57613	5733614	57614	5759	3605
615	5767	3595
616	5776	3585
617	5785	3576
618	5795	3567
619	5804	3557
620	5813	3548
621	5822	3538
622	5832	3529
623	5841	3519
624	5850	3510
625	5859	3500
626	5868	3491
627	5877	3481
628	5885	3471
629	5893	3461
630	5902	3451
631	5910	3441
632	5918	3431
633	5927	3421
634	5936	3412
635	5947	3403
636	5957	3394
637	5964	3384
638	5972	3374
639	5981	3364
640	5990	3354
641	5998	3344
642	6006	3334
643	6015	3325
644	6023	3315
645	6032	3305
646	6042	3296
647	6051	3287
648	6060	3277
649	6069	3268
650	6079	3259
651	6088	3249
652	6099	3241
653	6110	3232
654	6119	3223
655	6128	3213
656	6138	3204
657	6148	3195
658	6157	3186
659	6166	3176
660	6176	3167
661	6185	3158
662	6194	3148
663	6203	3139
664	6211	3129
665	6220	3119
666	6230	3110
667	6239	3100
668	6249	3092
669	6262	3084
670	6271	3075
671	6281	3066
672	6290	3056
673	6301	3047
674	6311	3038
675	6320	3029
676	6331	3020
677	6339	3010
678	6348	3001
679	6357	2991
680	6366	2982
681	6375	2972
682	6385	2963
683	6394	2954
684	6402	2944
685	6415	2936
686	6424	2927
687	6434	2917
688	6443	2908
689	6452	2898
690	6459	2888
691	6467	2878
692	6475	2868
693	6484	2859
694	6492	2849
695	6503	2840
696	6512	2831
697	6520	2821
698	6529	2811
699	6539	2802
700	6547	2792
701	6557	2783
702	6568	2775
703	6579	2766
704	6588	2756
705	6595	2746
706	6605	2737
707	6612	2727
708	6622	2718
709	6630	2708
710	6639	2698
711	6646	2688
712	6654	2678
713	6664	2669
714	6673	2660
715	6682	2650
716	6690	2640
717	6700	2631
718	6713	2623
719	6721	2614
720	6731	2604
721	6741	2595
722	6753	2587
723	6763	2578
724	6772	2568
725	6781	2559
726	6791	2550
727	6799	2540
728	6809	2531
729	6818	2521
730	6826	2511
731	6834	2502
732	6844	2493
733	6855	2484
734	6865	2475
735	6875	2466
736	6883	2456
737	6892	2446
738	6901	2437
739	6910	2427
740	6919	2418
741	6928	2408
742	6934	2398
743	6943	2389
744	6953	2379
745	6963	2370
746	6972	2361
747	6982	2352
748	6990	2342
749	6999	2333
750	7011	2324
751	7022	2315
752	7032	2306
753	7040	2297
754	7049	2287
755	7059	2278
756	7067	2268
757	7074	2258
758	7083	2249
759	7091	2239
760	7100	2230
761	7110	2220
762	7118	2211
763	7128	2201
764	7137	2192
765	7145	2182
766	7157	2174
767	7165	2164
768	7174	2155
769	7183	2145
770	7191	2136
771	7201	2126
772	7209	2117
773	7217	2107
774	7227	2098
775	7236	2088
776	7246	2079
777	7255	2070
778	7264	2061
779	7272	2051
780	7280	2041
781	7290	2032
782	7301	2023
783	7310	2014
784	7319	2004
785	7328	1995
786	7338	1986
787	7347	1976
788	7355	1967
789	7363	1957
790	7372	1948
791	7380	1938
792	7390	1929
793	7398	1919
794	7408	1910
795	7417	1901
796	7428	1892
797	7437	1882
798	7451	1874
799	7461	1865
800	7473	1856
801	7482	1847
802	7492	1838
803	7502	1828
804	7509	1819
805	7520	1810
806	7529	1800
807	7540	1791
808	7550	1782
809	7562	1773
810	7572	1764
811	7582	1755
812	7591	1746
813	7605	1737
814	7615	1728
815	7626	1719
816	7637	1710
817	7647	1701
818	7654	1691
819	7663	1682
820	7674	1673
821	7682	1663
822	7691	1654
823	7702	1645
824	7712	1636
825	7722	1626
826	7732	1617
827	7743	1608
828	7758	1600
829	7770	1591
830	7780	1582
831	7790	1573
832	7799	1563
833	7807	1554
834	7818	1545
835	7829	1535
836	7839	1526
837	7850	1517
838	7858	1508
839	7868	1498
840	7876	1489
841	7883	1479
842	7894	1470
843	7903	1460
844	7915	1451
845	7926	1442
846	7935	1433
847	7945	1424
848	7954	1414
849	7964	1405
850	7975	1396
851	7984	1387
852	7993	1377
853	8004	1368
854	8015	1359
855	8025	1350
856	8035	1340
857	8044	1331
858	8054	1322
859	8065	1313
860	8077	1304
861	8086	1294
862	8095	1285
863	8103	1275
864	8112	1266
865	8122	1256
866	8130	1247
867	8139	1237
868	8149	1228
869	8158	1219
870	8168	1209
871	8178	1200
872	8188	1191
873	8198	1181
874	8207	1172
875	8221	1163
876	8231	1154
877	8241	1145
878	8251	1135
879	8258	1126
880	8267	1116
881	8277	1107
882	8287	1098
883	8297	1088
884	8308	1079
885	8318	1070
886	8327	1060
887	8338	1051
888	8348	1042
889	8357	1032
890	8366	1023
891	8382	1014
892	8393	1005
893	8402	996
894	8412	986
895	8423	977
896	8431	968
897	8441	958
898	8451	949
899	8461	940
900	8473	931
901	8483	921
902	8494	912
903	8503	903
904	8511	893
905	8520	884
906	8536	875
907	8544	865
908	8553	856
909	8564	847
910	8573	837
911	8583	828
912	8594	818
913	8603	809
914	8613	800
915	8623	790
916	8633	781
917	8644	772
918	8654	762
919	8666	753
920	8676	744
921	8688	735
922	8698	725
923	8708	716
924	8719	706
925	8730	697
926	8741	688
927	8751	678
928	8761	669
929	8771	660
930	8780	650
931	8790	641
932	8799	631
933	8810	622
934	8820	613
935	8832	603
936	8846	594
937	8856	585
938	8866	576
939	8874	566
940	8885	557
941	8893	547
942	8903	538
943	8911	528
944	8922	519
945	8931	509
946	8940	500
947	8950	490
948	8959	481
949	8966	471
950	8976	462
951	8984	453
952	8993	443
953	9004	434
954	9017	424
955	9025	415
956	9036	406
957	9046	396
958	9054	387
959	9064	377
960	9074	368
961	9083	358
962	9093	349
963	9103	339
964	9112	330
965	9121	321
966	9131	311
967	9141	302
968	9154	292
969	9164	283
970	9176	274
971	9185	264
972	9196	255
973	9207	245
974	9221	236
975	9233	227
976	9244	217
977	9254	208
978	9263	198
979	9273	189
980	9284	179
981	9292	170
982	9302	160
983	9312	151
984	9322	141
985	9333	132
986	9343	123
987	9354	113
988	9364	104
989	9373	94
990	9378	85
991	9383	75
992	9387	66
993	9392	56
994	9397	47
995	9402	37
996	9407	28
997	9412	18
998	9416	9
999	9420	0
